iter	Passed	Remaining
0	1	197
1	3	177
2	5	162
3	6	147
4	7	145
5	8	139
6	10	136
7	12	142
8	13	139
9	14	133
10	15	127
11	16	123
12	17	119
13	18	116
14	19	113
15	20	109
16	21	106
17	22	104
18	24	103
19	25	101
20	26	100
21	27	99
22	29	98
23	30	96
24	31	94
25	32	92
26	33	90
27	34	88
28	35	86
29	36	84
30	37	83
31	38	82
32	40	81
33	41	79
34	42	78
35	43	76
36	44	74
37	45	73
38	46	72
39	47	70
40	48	69
41	48	66
42	49	65
43	51	65
44	52	64
45	54	63
46	55	62
47	55	60
48	57	59
49	58	58
50	58	56
51	59	55
52	61	54
53	62	52
54	62	51
55	64	50
56	65	49
57	67	48
58	68	47
59	69	46
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	38
66	76	37
67	78	36
68	79	35
69	80	34
70	81	33
71	83	32
72	84	31
73	85	29
74	86	28
75	86	27
76	88	26
77	89	25
78	90	23
79	91	22
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
